district,percentage,district,majority
"Johnsonburg Area SD",0.03,"Johnsonburg Area SD",White
"Kiski Area SD",0.03,"Kiski Area SD",White
"Littlestown Area SD",0.03,"Littlestown Area SD",White
"Manheim Central SD",0.03,"Manheim Central SD",White
"Mercer Area SD",0.03,"Mercer Area SD",White
"North East SD",0.03,"North East SD",White
"North Schuylkill SD",0.03,"North Schuylkill SD",White
"Northwestern SD",0.03,"Northwestern SD",White
"Oxford Area SD",0.03,"Oxford Area SD",White
"Penn-Trafford SD",0.03,"Penn-Trafford SD",White
"Pleasant Valley SD",0.03,"Pleasant Valley SD",White
"Pottsgrove SD",0.03,"Pottsgrove SD",White
"Purchase Line SD",0.03,"Purchase Line SD",White
"Quakertown Community SD",0.03,"Quakertown Community SD",White
"Saucon Valley SD",0.03,"Saucon Valley SD",White
"Sayre Area SD",0.03,"Sayre Area SD",White
"Schuylkill Haven Area SD",0.03,"Schuylkill Haven Area SD",White
"Smethport Area SD",0.03,"Smethport Area SD",White
"South Allegheny SD",0.03,"South Allegheny SD",White
"South Western SD",0.03,"South Western SD",White
"Spring Grove Area SD",0.03,"Spring Grove Area SD",White
"Twin Valley SD",0.03,"Twin Valley SD",White
"Union Area SD",0.03,"Union Area SD",White
"Western Beaver County SD",0.03,"Western Beaver County SD",White
"Wyalusing Area SD",0.03,"Wyalusing Area SD",White
"Abington Heights SD",0.02,"Abington Heights SD",White
"Bellefonte Area SD",0.02,"Bellefonte Area SD",White
"Bellwood-Antis SD",0.02,"Bellwood-Antis SD",White
"Bensalem Township SD",0.02,"Bensalem Township SD",White
"Benton Area SD",0.02,"Benton Area SD",White
"Brookville Area SD",0.02,"Brookville Area SD",White
"Camp Hill SD",0.02,"Camp Hill SD",White
"Carlynton SD",0.02,"Carlynton SD",White
"Central Cambria SD",0.02,"Central Cambria SD",White
"Central York SD",0.02,"Central York SD",White
"Cheltenham SD",0.02,"Cheltenham SD","Black or African American"
"Cocalico SD",0.02,"Cocalico SD",White
"Conemaugh Township Area SD",0.02,"Conemaugh Township Area SD",White
"Conrad Weiser Area SD",0.02,"Conrad Weiser Area SD",White
"Curwensville Area SD",0.02,"Curwensville Area SD",White
"DuBois Area SD",0.02,"DuBois Area SD",White
"Eastern Lancaster County SD",0.02,"Eastern Lancaster County SD",White
"Fort Cherry SD",0.02,"Fort Cherry SD",White
"Gateway SD",0.02,"Gateway SD",White
"Gettysburg Area SD",0.02,"Gettysburg Area SD",White
"Grove City Area SD",0.02,"Grove City Area SD",White
"Hanover Public SD",0.02,"Hanover Public SD",White
"Harbor Creek SD",0.02,"Harbor Creek SD",White
"Iroquois SD",0.02,"Iroquois SD",White
"Lampeter-Strasburg SD",0.02,"Lampeter-Strasburg SD",White
"Lebanon SD",0.02,"Lebanon SD",Hispanic
"Loyalsock Township SD",0.02,"Loyalsock Township SD",White
"McKeesport Area SD",0.02,"McKeesport Area SD","Black or African American"
"Millcreek Township SD",0.02,"Millcreek Township SD",White
"Muhlenberg SD",0.02,"Muhlenberg SD",Hispanic
"Nazareth Area SD",0.02,"Nazareth Area SD",White
"Northeast Bradford SD",0.02,"Northeast Bradford SD",White
"Norwin SD",0.02,"Norwin SD",White
"Owen J Roberts SD",0.02,"Owen J Roberts SD",White
"Parkland SD",0.02,"Parkland SD",White
"Penn Manor SD",0.02,"Penn Manor SD",White
"Richland SD",0.02,"Richland SD",White
"Ridgway Area SD",0.02,"Ridgway Area SD",White
"Saint Marys Area SD",0.02,"Saint Marys Area SD",White
"Salisbury Township SD",0.02,"Salisbury Township SD",White
"Schuylkill Valley SD",0.02,"Schuylkill Valley SD",White
"Shanksville-Stonycreek SD",0.02,"Shanksville-Stonycreek SD",White
"Sharpsville Area SD",0.02,"Sharpsville Area SD",White
