district,percentage
"East Allegheny SD",0.03
"South Allegheny SD",0.03
"Saucon Valley SD",0.03
"Northern Potter SD",0.03
"Knoch SD",0.03
"Brentwood Borough SD",0.03
"Carmichaels Area SD",0.03
"Dover Area SD",0.03
"Reynolds SD",0.03
"Kiski Area SD",0.03
"California Area SD",0.03
"Chichester SD",0.03
"Ringgold SD",0.03
"Western Beaver County SD",0.03
"Wallenpaupack Area SD",0.03
"Kutztown Area SD",0.03
"Southern Tioga SD",0.03
"Avella Area SD",0.03
"Chestnut Ridge SD",0.03
"Southern Fulton SD",0.03
"Purchase Line SD",0.03
"Franklin Area SD",0.03
"Twin Valley SD",0.03
"Belle Vernon Area SD",0.03
"Tulpehocken Area SD",0.03
"Daniel Boone Area SD",0.03
"Sayre Area SD",0.03
"Palisades SD",0.03
"Palmyra Area SD",0.03
"Cumberland Valley SD",0.03
"Clarion Area SD",0.03
"Charleroi SD",0.03
"Mifflin County SD",0.03
"Freedom Area SD",0.03
"Erie City SD",0.03
"Lake-Lehman SD",0.03
"Conemaugh Valley SD",0.03
"Smethport Area SD",0.03
"Athens Area SD",0.03
"Quakertown Community SD",0.03
"Otto-Eldred SD",0.03
"Commodore Perry SD",0.03
"Yough SD",0.03
"Wilson Area SD",0.03
"Penn-Trafford SD",0.03
"Donegal SD",0.03
"Hempfield Area SD",0.03
"Spring Cove SD",0.03
"Conewago Valley SD",0.03
"Northgate SD",0.03
"Indiana Area SD",0.03
"General McLane SD",0.03
"Altoona Area SD",0.03
"Pottsgrove SD",0.03
"Greater Nanticoke Area SD",0.03
"Wyalusing Area SD",0.03
"Everett Area SD",0.03
"Oxford Area SD",0.03
"Easton Area SD",0.03
"Manheim Central SD",0.03
"Ellwood City Area SD",0.03
"Hopewell Area SD",0.03
"Connellsville Area SD",0.03
"Penncrest SD",0.03
"Chartiers-Houston SD",0.03
"Portage Area SD",0.03
"North East SD",0.03
"East Lycoming SD",0.03
"Canon-McMillan SD",0.03
"Union Area SD",0.03
"Eastern Lebanon County SD",0.03
"Ambridge Area SD",0.03
"Duquesne City SD",0.03
"Elizabethtown Area SD",0.03
"Armstrong SD",0.03
"Marion Center Area SD",0.03
"South Western SD",0.03
"Canton Area SD",0.03
"Huntingdon Area SD",0.03
"Moniteau SD",0.03
"Penns Valley Area SD",0.03
"Wilmington Area SD",0.03
"Kane Area SD",0.03
"Spring Grove Area SD",0.03
"Warren County SD",0.03
"Dunmore SD",0.03
"Jamestown Area SD",0.03
"Lower Dauphin SD",0.03
"Fairfield Area SD",0.03
"Coatesville Area SD",0.03
"Bradford Area SD",0.03
"Philipsburg-Osceola Area SD",0.03
"Troy Area SD",0.03
"Bloomsburg Area SD",0.02
"DuBois Area SD",0.02
"Fort Cherry SD",0.02
"Tussey Mountain SD",0.02
"Derry Township SD",0.02
"Allentown City SD",0.02
"Iroquois SD",0.02
"Antietam SD",0.02
"Milton Area SD",0.02
"Bethlehem Area SD",0.02
"Southern York County SD",0.02
"Windber Area SD",0.02
"Cocalico SD",0.02
"Greater Latrobe SD",0.02
"Tri-Valley SD",0.02
"Upper Darby SD",0.02
"New Brighton Area SD",0.02
"Central Cambria SD",0.02
"Cheltenham SD",0.02
"Northeast Bradford SD",0.02
"Eastern Lancaster County SD",0.02
"West Mifflin Area SD",0.02
"Central Valley SD",0.02
"West Middlesex Area SD",0.02
"Bellwood-Antis SD",0.02
"Catasauqua Area SD",0.02
"Conemaugh Township Area SD",0.02
"Jefferson-Morgan SD",0.02
"South Eastern SD",0.02
"Norristown Area SD",0.02
"Mars Area SD",0.02
"Upper Adams SD",0.02
"Riverside SD",0.02
"Port Allegany SD",0.02
"Gateway SD",0.02
"Camp Hill SD",0.02
"Loyalsock Township SD",0.02
"Gettysburg Area SD",0.02
"McKeesport Area SD",0.02
"Oley Valley SD",0.02
"Cranberry Area SD",0.02
"Carlynton SD",0.02
"Octorara Area SD",0.02
"Tyrone Area SD",0.02
"Towanda Area SD",0.02
"Northampton Area SD",0.02
"Crestwood SD",0.02
"Penn Cambria SD",0.02
"Hanover Public SD",0.02
"Valley Grove SD",0.02
"Montgomery Area SD",0.02
"Central York SD",0.02
"Lebanon SD",0.02
"West Branch Area SD",0.02
"Delaware Valley SD",0.02
"Abington Heights SD",0.02
"Solanco SD",0.02
"Bellefonte Area SD",0.02
"Whitehall-Coplay SD",0.02
"Karns City Area SD",0.02
"Southern Columbia Area SD",0.02
"Elizabeth Forward SD",0.02
"Ridgway Area SD",0.02
"Wattsburg Area SD",0.02
"Homer-Center SD",0.02
"Fort LeBoeuf SD",0.02
"Fleetwood Area SD",0.02
"Deer Lakes SD",0.02
"Somerset Area SD",0.02
"East Penn SD",0.02
"Hazleton Area SD",0.02
"Warrior Run SD",0.02
"Bristol Township SD",0.02
"Brookville Area SD",0.02
"Blue Ridge SD",0.02
"Saint Marys Area SD",0.02
"Williamsburg Community SD",0.02
"Sharpsville Area SD",0.02
"Hollidaysburg Area SD",0.02
"Central Columbia SD",0.02
"Millcreek Township SD",0.02
"Mohawk Area SD",0.02
"Penn Manor SD",0.02
"Schuylkill Valley SD",0.02
"Conrad Weiser Area SD",0.02
"Millville Area SD",0.02
"South Park SD",0.02
"Curwensville Area SD",0.02
"Cornwall-Lebanon SD",0.02
"Neshannock Township SD",0.02
"Exeter Township SD",0.02
"Shanksville-Stonycreek SD",0.02
"Benton Area SD",0.02
"Hermitage SD",0.02
"Ephrata Area SD",0.02
"Salisbury Township SD",0.02
"Upper Moreland Township SD",0.02
"Neshaminy SD",0.02
"Moon Area SD",0.02
"Nazareth Area SD",0.02
"West York Area SD",0.02
"Pine Grove Area SD",0.02
"Trinity Area SD",0.02
"Muhlenberg SD",0.02
"Shenango Area SD",0.02
"Penn-Delco SD",0.02
"Warwick SD",0.02
"Hempfield SD",0.02
"Union City Area SD",0.02
"Parkland SD",0.02
"Bensalem Township SD",0.02
"Norwin SD",0.02
"Clairton City SD",0.02
"Bald Eagle Area SD",0.02
"Harbor Creek SD",0.02
"Wyomissing Area SD",0.02
"Grove City Area SD",0.02
"Northern Bedford County SD",0.02
"Franklin Regional SD",0.02
